   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.92e-07   4.91e-08   8.44e-12   7.41e-07 _15492_
   6.92e-07   4.91e-08   8.44e-12   7.41e-07 _15364_
   6.92e-07   4.91e-08   8.44e-12   7.41e-07 _15428_
   6.82e-07   5.85e-08   8.44e-12   7.40e-07 _16740_
   6.69e-07   7.10e-08   8.44e-12   7.40e-07 _16695_
   6.91e-07   4.91e-08   8.44e-12   7.40e-07 _16067_
   6.72e-07   6.75e-08   8.44e-12   7.40e-07 _16660_
   6.91e-07   4.91e-08   8.44e-12   7.40e-07 _16003_
   6.94e-07   4.52e-08   8.44e-12   7.39e-07 _15440_
   6.70e-07   6.92e-08   8.44e-12   7.39e-07 _16676_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16019_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _15999_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16000_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16063_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16020_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16068_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16064_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16004_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16072_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16011_
   6.90e-07   4.91e-08   8.44e-12   7.39e-07 _16016_
   6.89e-07   4.91e-08   8.44e-12   7.39e-07 _16076_
   6.89e-07   4.91e-08   8.44e-12   7.39e-07 _16007_
   6.89e-07   4.91e-08   8.44e-12   7.39e-07 _16008_
   6.89e-07   4.91e-08   8.44e-12   7.39e-07 _16012_
   6.89e-07   4.91e-08   8.44e-12   7.39e-07 _16015_
   6.89e-07   4.91e-08   8.44e-12   7.38e-07 _16023_
   6.90e-07   4.83e-08   8.44e-12   7.38e-07 _16014_
   6.90e-07   4.83e-08   8.44e-12   7.38e-07 _16078_
   6.83e-07   5.50e-08   8.44e-12   7.38e-07 _15875_
   6.90e-07   4.83e-08   8.44e-12   7.38e-07 _16018_
   6.90e-07   4.83e-08   8.44e-12   7.38e-07 _16022_
   6.89e-07   4.83e-08   8.44e-12   7.38e-07 _16006_
   6.89e-07   4.83e-08   8.44e-12   7.38e-07 _16070_
   6.83e-07   5.50e-08   8.44e-12   7.38e-07 _15962_
   6.83e-07   5.50e-08   8.44e-12   7.38e-07 _15874_
   6.89e-07   4.83e-08   8.44e-12   7.38e-07 _16010_
   6.89e-07   4.83e-08   8.44e-12   7.38e-07 _16074_
   6.83e-07   5.50e-08   8.44e-12   7.38e-07 _15963_
   6.82e-07   5.50e-08   8.44e-12   7.38e-07 _15876_
   6.79e-07   5.87e-08   8.44e-12   7.37e-07 _16709_
   6.83e-07   5.42e-08   8.44e-12   7.37e-07 _15891_
   6.83e-07   5.42e-08   8.44e-12   7.37e-07 _15899_
   6.82e-07   5.42e-08   8.44e-12   7.37e-07 _15879_
   6.82e-07   5.42e-08   8.44e-12   7.37e-07 _15883_
   6.82e-07   5.42e-08   8.44e-12   7.36e-07 _15949_
   6.82e-07   5.42e-08   8.44e-12   7.36e-07 _15957_
   6.82e-07   5.42e-08   8.44e-12   7.36e-07 _15961_
   6.82e-07   5.42e-08   8.44e-12   7.36e-07 _15873_
   6.80e-07   5.59e-08   8.44e-12   7.36e-07 _16708_
   6.82e-07   5.42e-08   8.44e-12   7.36e-07 _15895_
   6.82e-07   5.42e-08   8.44e-12   7.36e-07 _15887_
   6.82e-07   5.36e-08   8.44e-12   7.36e-07 _15933_
   6.82e-07   5.36e-08   8.44e-12   7.36e-07 _15869_
   6.82e-07   5.42e-08   8.44e-12   7.36e-07 _15941_
   6.82e-07   5.42e-08   8.44e-12   7.36e-07 _15945_
   6.90e-07   4.52e-08   8.44e-12   7.35e-07 _16090_
   6.72e-07   6.26e-08   8.44e-12   7.35e-07 _16644_
   6.90e-07   4.52e-08   8.44e-12   7.35e-07 _16082_
   6.90e-07   4.52e-08   8.44e-12   7.35e-07 _16086_
   6.90e-07   4.52e-08   8.44e-12   7.35e-07 _16071_
   6.90e-07   4.52e-08   8.44e-12   7.35e-07 _16075_
   6.69e-07   6.60e-08   8.44e-12   7.35e-07 _16683_
   6.72e-07   6.23e-08   8.44e-12   7.35e-07 _16653_
   6.69e-07   6.54e-08   8.44e-12   7.34e-07 _16703_
   6.69e-07   6.49e-08   8.44e-12   7.34e-07 _16687_
   6.69e-07   6.49e-08   8.44e-12   7.34e-07 _16699_
   6.82e-07   5.14e-08   8.44e-12   7.33e-07 _15953_
   6.82e-07   5.12e-08   8.44e-12   7.33e-07 _16778_
   6.69e-07   6.40e-08   8.44e-12   7.33e-07 _16698_
   6.82e-07   5.12e-08   8.44e-12   7.33e-07 _15320_
   6.82e-07   5.12e-08   8.44e-12   7.33e-07 _15303_
   6.82e-07   5.12e-08   8.44e-12   7.33e-07 _16785_
   6.82e-07   5.08e-08   8.44e-12   7.33e-07 _16868_
   6.81e-07   5.12e-08   8.44e-12   7.33e-07 _16780_
   6.81e-07   5.12e-08   8.44e-12   7.32e-07 _16723_
   6.72e-07   6.01e-08   8.44e-12   7.32e-07 _16646_
   6.69e-07   6.34e-08   8.44e-12   7.32e-07 _16692_
   6.72e-07   5.91e-08   8.44e-12   7.31e-07 _16663_
   6.72e-07   5.91e-08   8.44e-12   7.31e-07 _16671_
   6.82e-07   4.87e-08   8.44e-12   7.30e-07 _16852_
   6.82e-07   4.87e-08   8.44e-12   7.30e-07 _15322_
   6.82e-07   4.87e-08   8.44e-12   7.30e-07 _16849_
   6.82e-07   4.72e-08   8.44e-12   7.29e-07 _16741_
   6.83e-07   4.61e-08   8.44e-12   7.29e-07 _15934_
   6.83e-07   4.61e-08   8.44e-12   7.29e-07 _15870_
